Symbol,Inside Bar,Double top/bottom,Head and Shoulders,VShape
NSE:360ONE-EQ,1,0,0,0
NSE:3MINDIA-EQ,1,0,0,0
NSE:AARTIIND-EQ,0,0,0,0
NSE:AAVAS-EQ,1,0,0,0
NSE:ABB-EQ,0,0,0,1
NSE:ABBOTINDIA-EQ,2,0,0,0
NSE:ABCAPITAL-EQ,1,0,0,0
NSE:ABFRL-EQ,0,0,0,0
NSE:ACC-EQ,0,0,0,0
NSE:ACE-EQ,1,0,0,0
NSE:ACI-EQ,0,0,0,0
NSE:ADANIENSOL-EQ,1,0,0,0
NSE:ADANIENT-EQ,0,0,0,0
NSE:ADANIGREEN-EQ,0,0,0,0
NSE:ADANIPORTS-EQ,2,0,0,0
NSE:ADANIPOWER-EQ,1,0,0,0
NSE:AEGISLOG-EQ,1,0,0,0
NSE:AETHER-EQ,0,0,0,0
NSE:AFFLE-EQ,2,0,0,0
NSE:AIAENG-EQ,1,0,0,0
NSE:AJANTPHARM-EQ,0,0,0,1
NSE:ALKEM-EQ,2,0,0,0
NSE:ALKYLAMINE-EQ,0,0,0,0
NSE:ALLCARGO-EQ,2,0,0,0
NSE:ALOKINDS-EQ,1,0,0,0
NSE:AMBER-EQ,1,0,0,0
NSE:AMBUJACEM-EQ,1,0,0,0
NSE:ANANDRATHI-EQ,2,0,0,0
NSE:ANGELONE-EQ,1,0,0,0
NSE:ANURAS-EQ,0,0,0,0
NSE:APARINDS-EQ,0,0,0,0
NSE:APLAPOLLO-EQ,1,0,0,0
NSE:APLLTD-EQ,1,0,0,0
NSE:APOLLOHOSP-EQ,0,0,0,0
NSE:APOLLOTYRE-EQ,1,0,0,0
NSE:APTUS-EQ,1,0,0,0
NSE:ARE-M-EQ,0,0,0,0
NSE:ASAHIINDIA-EQ,0,0,0,0
NSE:ASHOKLEY-EQ,0,0,0,0
NSE:ASIANPAINT-EQ,4,0,0,0
NSE:ASTERDM-EQ,1,0,0,0
NSE:ASTRAL-EQ,2,0,0,0
NSE:ASTRAZEN-EQ,1,0,0,0
NSE:ATGL-EQ,0,0,0,0
NSE:ATUL-EQ,2,0,0,1
NSE:AUBANK-EQ,0,0,0,0
NSE:AUROPHARMA-EQ,0,0,0,0
NSE:AVANTIFEED-EQ,1,0,0,0
NSE:AWL-EQ,0,0,0,0
NSE:AXISBANK-EQ,0,0,0,0
NSE:BAJAJ-AUTO-EQ,0,0,0,0
NSE:BAJAJFINSV-EQ,1,0,0,1
NSE:BAJAJHLDNG-EQ,3,0,0,0
NSE:BAJFINANCE-EQ,0,0,0,0
NSE:BALAMINES-EQ,0,0,0,0
NSE:BALKRISIND-EQ,0,0,0,0
NSE:BALRAMCHIN-EQ,1,0,0,0
NSE:BANDHANBNK-EQ,1,0,0,0
NSE:BANKBARODA-EQ,1,0,0,0
NSE:BANKINDIA-EQ,1,0,0,0
